iter	Passed	Remaining
1089	18619	1879
1090	18636	1861
1091	18652	1844
1092	18669	1827
1093	18689	1810
1094	18705	1793
1095	18721	1776
1096	18737	1759
1097	18755	1742
1098	18772	1725
1099	18792	1708
1100	18808	1691
1101	18827	1674
1102	18845	1657
1103	18862	1640
1104	18880	1623
1105	18901	1606
1106	18920	1589
1107	18942	1572
1108	18961	1555
1109	18978	1538
1110	18997	1521
1111	19015	1504
1112	19043	1488
1113	19067	1472
1114	19088	1455
1115	19105	1438
1116	19125	1421
1117	19141	1403
1118	19157	1386
1119	19173	1369
1120	19191	1352
1121	19212	1335
1122	19228	1318
1123	19246	1301
1124	19266	1284
1125	19285	1267
1126	19301	1250
1127	19323	1233
1128	19340	1216
1129	19356	1199
1130	19372	1181
1131	19390	1164
1132	19409	1147
1133	19424	1130
1134	19441	1113
1135	19457	1096
1136	19484	1079
1137	19501	1062
1138	19522	1045
1139	19541	1028
1140	19557	1011
1141	19574	994
1142	19593	977
1143	19609	959
1144	19625	942
1145	19642	925
1146	19658	908
1147	19681	891
1148	19697	874
1149	19715	857
1150	19732	840
1151	19751	822
1152	19768	805
1153	19788	788
1154	19805	771
1155	19822	754
1156	19838	737
1157	19855	720
1158	19870	702
1159	19887	685
1160	19903	668
1161	19920	651
1162	19937	634
1163	19953	617
1164	19970	599
1165	19986	582
1166	20002	565
1167	20018	548
1168	20034	531
1169	20051	514
1170	20070	497
1171	20087	479
1172	20105	462
1173	20121	445
1174	20137	428
1175	20153	411
1176	20169	394
1177	20186	377
1178	20206	359
1179	20223	342
1180	20242	325
1181	20259	308
1182	20276	291
1183	20292	274
1184	20308	257
1185	20325	239
1186	20343	222
1187	20363	205
1188	20379	188
1189	20395	171
1190	20412	154
1191	20428	137
1192	20445	119
1193	20461	102
1194	20477	85
1195	20494	68
1196	20514	51
1197	20533	34
1198	20552	17
1199	20570	0
